Level,Date and Time,Source,Event ID,Task Category
Information,04-29-2026 14:09:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:09:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:09:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:09:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:09:25,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:09:25,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:09:15,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:09:15,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:09:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:09:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Error,04-29-2026 14:08:38,Microsoft-Windows-DistributedCOM,10010,None,The server {CFCDE54C-C83E-449D-8A40-EFFE043FC227} did not register with DCOM within the required timeout.
Information,04-29-2026 14:08:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:08:03,Service Control Manager,7036,None,The Network Setup Service service entered the running state.
Information,04-29-2026 14:08:00,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:08:00,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:07:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:54,Service Control Manager,7036,None,The Microsoft Account Sign-in Assistant service entered the stopped state.
Information,04-29-2026 14:07:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:07:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:07:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:07:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:07:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:07:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
