Severity, Program, Time, Message, Server, Collective, ID, Category, OriginatingHost, OriginatingOSUser, OriginatingPIUser, Priority, ProcessHost, ProcessOSUser, ProcessPIUser, ProcessID, Source1, Source2, Source3
Information, pisnapss, 07-20-2026 12:22:54,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:25:34,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:28:54,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pinetmgr, 07-20-2026 12:30:10,"Connection accepted:     Process name:  FTHConnectorWindowsServiceHost.exe(7820) ID: 235", MKGPWOTRBHIS01, , 7039, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 12:30:11,"Deleting connection:  FTHConnectorWindowsServiceHost.exe(7820), Shutdown request received from FTHConnectorWindowsServiceHost.exe(7820), ID: 235  :0", MKGPWOTRBHIS01, , 7096, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 12:30:11,"ID: 235; Duration: 0. min.; kbytes sent: 47.03516; kbytes recv: 0.1865234; app: RA-FHCL; user: ; osuser: ; trust: ; ip address: ; ip host: ", MKGPWOTRBHIS01, , 7133, , , , , 10, , pinetmgr, , 3852, Connection Statistics, , 
Information, pinetmgr, 07-20-2026 12:30:11,"Disconnected ID: 235 ; Process name: FTHConnectorWindowsServiceHost.exe(7820) ; User:  ; OS User:  ; Hostname: ; IP:  ; AppID: 625 ; AppName: RA-FHCL", MKGPWOTRBHIS01, , 7079, , , , , 10, , pinetmgr, , 3852, Connection Information, , 
Information, pisnapss, 07-20-2026 12:31:34,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:34:54,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:37:34,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:40:55,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:43:35,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pinetmgr, 07-20-2026 12:45:14,"Connection accepted:     Process name:  FTHConnectorWindowsServiceHost.exe(7820) ID: 236", MKGPWOTRBHIS01, , 7039, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 12:45:21,"Deleting connection:  FTHConnectorWindowsServiceHost.exe(7820), Shutdown request received from FTHConnectorWindowsServiceHost.exe(7820), ID: 236  :0", MKGPWOTRBHIS01, , 7096, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 12:45:21,"ID: 236; Duration: 0. min.; kbytes sent: 47.03516; kbytes recv: 0.1865234; app: RA-FHCL; user: ; osuser: ; trust: ; ip address: ; ip host: ", MKGPWOTRBHIS01, , 7133, , , , , 10, , pinetmgr, , 3852, Connection Statistics, , 
Information, pinetmgr, 07-20-2026 12:45:21,"Disconnected ID: 236 ; Process name: FTHConnectorWindowsServiceHost.exe(7820) ; User:  ; OS User:  ; Hostname: ; IP:  ; AppID: 625 ; AppName: RA-FHCL", MKGPWOTRBHIS01, , 7079, , , , , 10, , pinetmgr, , 3852, Connection Information, , 
Information, pisnapss, 07-20-2026 12:46:55,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:49:35,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 12:52:55,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
